docid,actualdate,inferreddate,firstpub,recept,recordid,OCLC,author,imprint,enumcron,title,pubrev,judge,impaud,yrrev,pubname,birth,gender,nationality,othername,notes,canon
loc.ark+=13960=t4nk3w21x,1873,1873,1873,reviewed,9574936,9429792,"Colman, James F.",Boston;Estes and Lauriat;1873;(Cambridge;John Wilson and son),,"The knightly heart, and other poems",rev,,,1873,ATL,,,,,obscure,
loc.ark+=13960=t90872358,1873,1873,1873,reviewed,9573388,1895447,"O'Reilly, John Boyle,",Boston;Roberts brothers;1873.,,Songs from the southern seas,rev,,,1873,ATL,1844,m,ir,,,
uc1.b3579414,1873,1873,1873,reviewed,7861380,7313863,"Morris, William,",London;Ellis & White;1873.,,"Love is enough, or The freeing of Pharamond",rev,pos,,1873,FR,1834,m,uk,,,y
uc2.ark+=13960=t42r3t80r,1873,1873,1873,reviewed,6611528,1739342,"Brown, T. E.",London;Macmillan;1873.,,Betsy Lee,rev,neg,,1873,ATL,1830,m,uk,,,
uc2.ark+=13960=t75t3n448,1873,1873,1873,random,7692898,,"Stewart, William John.",London;Whittaker;1873.,,Scattered leaflets,,,,,,1849,m,uk,,,
uc1.$b803433,1873,1873,1873,random,9951038,,"Ricketson, Daniel,",New Bedord [Mass.;E. Anthony;1873.,,The factory-bell,,,,,,1813,m,us,,,
loc.ark+=13960=t3cz3pj65,1873,1873,1873,random,9573845,,"Case, Leonard,",Boston;J.R. Osgood and company;1873.,,Treasure trove;,,,,,,1820,m,us,,,
uc2.ark+=13960=t6vx06j62,1873,1873,1873,random,1424049,,"Saltus, Francis Saltus,",Philadelphia;J. B. Lippincott & co.;1873.,,Honey and gall,,,,,,1849,m,us,,,
loc.ark+=13960=t6tx46241,1872,1872,1872,reviewed,11209752,5877288,"Turner, Eliza (Sproat)",Boston;J. R. Osgood & Comp.;1872.,,Out-of-door rhymes,rev,,,1872,ATL,1826,f,us,,,
uc2.ark+=13960=t02z17v0j,1872,1872,1872,reviewed,242299,2862442,"Noel, Roden,",London;Strahan & co.;1872.,,The red flag,rev,neg,,1873,FR,1834,m,uk,,,
loc.ark+=13960=t95720v25,1872,1872,1872,reviewed,9571531,,"Thaxter, Celia,",New York;Hurd and Houghton;Cambridge [Mass.;Riverside Press;1872.,,Poems,rev,pos,,1872,ATL,1835,f,us,,,
mdp.39015059421811,1917,1917,1872,reviewed,205157,65987399,"Hake, Thomas Gordon,",London;E. Mathews;1917.,,Parables & tales,rev,pos,,1873,FR,1809,m,uk,,,
uc2.ark+=13960=t42r42k8x,1872,1872,1872,reviewed,6518191,5899081,"Smith, Walter C.",Boston;J.R. Osgood and company;1872.,,Olrig Grange,rev,,,1872,FR,1824,m,uk,,,
uc1.32106001957635,1872,1872,1872,reviewed,7119642,3023728,"Tennyson, Alfred Tennyson,",Boston;J. R. Osgood and company;1872.,,Gareth and Lynette,rev,,,1872,FR,1809,m,uk,,,y
uc2.ark+=13960=t4pk0c98d,1872,1872,1872,reviewed,7687477,4817530,"Domett, Alfred,","London;Smith, Elder & Co.;1872.",,Ranolf and Amohia,rev,,,1872,FR,1811,m,uk,,,
uc1.b182525,1872,1872,1872,reviewed,6651814,7237910,"Hayne, Paul Hamilton,",Philadelphia;J.B. Lippincott;1872.,,Legends and lyrics,rev,,,1872,ATL,1830,m,us,,,
uc2.ark+=13960=t9p26qv5r,1872,1872,1872,reviewed,7657105,6245604,"Dorr, Julia C. R.",Philadelphia;J. B. Lippincott & Co.;1872.,,Poems,rev,,,1872,ATL,1825,f,us,,,
uc2.ark+=13960=t8x926w5s,1872,1872,1872,random,7692297,,"Sawyer, William Kingston,","London;Longmans, Green, Reader, and Dyer;1872.",,The legend of Phyllis,,,,,,1828,m,uk,,,
uc2.ark+=13960=t7br8q34d,1872,1872,1872,random,6611152,,"Forsyth, William,",Edinburgh;William Blackwood;1872.,,Idylls and lyrics,,,,,,1818,m,uk,,,
uc2.ark+=13960=t9m32rn84,1872,1872,1872,random,6518169,,"Pocock, I. J. Innes.",London;Spottiswoode;1872.,,Franklin and other poems,,,,,,,,,,,
uc2.ark+=13960=t8x924t2m,1872,1872,1872,random,6518335,,"Harvey, Ellen T. H.",Boston;John Bent;1872.,,Wilderness and Mount,,,,,,,,,,,
loc.ark+=13960=t6737bz3f,1872,1872,1872,random,9583819,,"Ramsey, V. G.","Boston;D. Lothrop & co.;Dover, N.H.;G. T. Day & co.;1872.",,A legend of the White Hills,,,,,,1817,f,us,,,
loc.ark+=13960=t0wq0dz13,1872,1872,1872,random,9609113,,"Armstrong, J. A.","Brooklyn;E. Darbee, Printer;1872.",,Harvest,,,,,,,m,us,,,
mdp.39015059548340,1880,1880,1871,reviewed,124084,3074470,"Swinburne, Algernon Charles,",London;Chatto and Windus;1880.,,Songs before sunrise,rev,pos,elite,1885,FR,1837,m,uk,,,y
mdp.39015063937810,1894,1894,1871,random,246395,,"Mackay, Eric,",New York [etc.;Brentano's;1894,,Love letters of a violinist,,,,,,1851,m,uk,,,
uc2.ark+=13960=t06w96n8w,1871,1871,1871,reviewed,1424843,3644614,"Winter, William,",Boston;J. R. Osgood and company;1871.,,My witness,rev,pos,,1871,ATL,1836,m,us,,,
nyp.33433066636204,1871,1871,1871,reviewed,8656582,3308640,"Miller, Joaquin,","London;Longmans, Green, Reader, and Dyer;1871.",,Songs of the Sierras,rev,,,1871,BM,1837,m,us,,,
loc.ark+=13960=t0qr59x0m,1871,1871,1871,reviewed,9560197,11851279,"Fuller, Edwin W.",New York;E.J. Hale & Son;1871.,,The angel in the cloud,rev,,,1872,ATL,1847,m,us,,obscure,
mdp.39015013157980,1878,1878,1871,reviewed,321003,10334702,"[Piatt, Sarah M. B.",Boston;J. R. Osgood and company;1878.,,A woman's poems,rev,pos,,1871,ATL,1836,f,us,,,
loc.ark+=13960=t5cc1g772,1871,1871,1871,reviewed,8656892,6106197,"Greene, William Batchelder,",Boston;B. B. Russell;1871.,,Imogen,rev,,,1872,ATL,1819,m,us,,,
loc.ark+=13960=t1kh1gk7p,1871,1871,1871,reviewed,1693798,2098558,"Channing, William Ellery,",Boston;J. R. Osgood and company;1871.,,The wanderer,rev,neg,,1872,ATL,1817,m,us,,,
loc.ark+=13960=t2891sx2w,1871,1871,1871,reviewed,9603398,,"Stoddard, Richard Henry,",Boston;James R. Osgood;1871.,,"The book of the East, and other poems",rev,pos,,1871,ATL,1825,m,us,,,
njp.32101068175072,1871,1871,1871,reviewed,8968934,20742890,"Butler, William Allen,",Boston;James R. Osgood and Company;1871.,,Poems,rev,,,1872,ATL,1825,m,us,,,
uc2.ark+=13960=t8gf0nw9p,1871,1871,1871,reviewed,9261804,14411281,"McHenry, George.",San Francisco;A.L. Bancroft and Company;1871.,,Time and eternity,rev,,,1872,ATL,1837,m,ir,,obscure,
uc2.ark+=13960=t0dv1jg7s,1871,1871,1871,reviewed,7690943,4872294,"Morris, Lewis,",London;H. S. King;1871.,,Songs of two worlds,rev,,,1872,FR,1833,m,uk,,,
loc.ark+=13960=t03x8vs4n,1871,1871,1871,random,9582968,,"Wallace, E. D.",New York;T.F. Leslie;1871.,,England's last queen,,,,,,,,,,,
uc2.ark+=13960=t6057k92v,1871,1871,1871,random,7689741,,"Kingsley, Henry,",London;New York;Macmillan;1871.,,The lost child,,,,,,1830,m,uk,,anthology,
nnc1.1002356570,1871,1871,1871,random,,,,London;1871.,,"Verses for the people, suitable to the times, by an Englishman",,,,,,,,uk,,,
loc.ark+=13960=t56d6fr15,1871,1871,1871,random,,,"Smith, Francis S.",New York;American News;1871.,,Poems for the million,,,,,,1819,m,us,,,
nyp.33433074963582,1871,1871,1871,random,,,"Stanton, Henry T.","Baltimore;Henry C. Turnbull, Jr.;1871.",,"The Moneyless Man, and Other Poems",,,,,,1834,m,us,,,
loc.ark+=13960=t3nw08094,1871,1871,1871,random,,,"Spalding, Lucy Billings,",Philadelphia;J.B. Lippincott & Co.;1871.,,"The ruined statues, and other poems",,,,,,1839,f,us,,,
loc.ark+=13960=t7dr3b23n,1871,1871,1871,random,9601627,,"Le Cato, N. J. W.",Baltimore;Steam Press of Frederick A. Hanzsche ...;1871.,,Theodora and other poems,,,,,,1835,m,us,,,
loc.ark+=13960=t4qj7w512,1871,1871,1871,random,9602022,,"Gates, Rozina. [from old catalog]","St. Joseph, Mich.;T.L. Reynolds, printer;1871.",,A panoramic view of the creation!,,,,,,,,,,,
njp.32101066457894,1871,1871,1871,random,8928064,,"Cooke, Belle W.","Salem, Or.;E. M. Waite, printer;1871.",,Tears and victory,,,,,,1834,f,us,,,
loc.ark+=13960=t3fx82c2q,1871,1871,1871,addcanon,9567459,,"Harper, Frances Ellen Watkins","Philadelphia;Merrihew & son, printers;1871.",,Poems,,,,,,1825,f,us,,,y
uc1.b260737,1870,1870,1870,reviewed,6509062,6482223,"Weeks, Robert Kelley,",New York;Leypoldt & Holt;1870.,,Episodes and lyric pieces,rev,,,1871,ATL,1840,m,us,,,
nyp.33433066640792,1872,1872,1870,reviewed,8657545,7115412,"Jackson, Helen Hunt,",Boston;James R. Osgood;1872.,,Verses,rev,pos,,1871,ATL,1830,f,us,,,
uc1.32106001950101,1870,1870,1870,reviewed,7114122,232989876,"Rossetti, Dante Gabriel,",Boston;Roberts brothers;1870.,,Poems,pub,,,1869,FR,1848,m,uk,,,y
uc2.ark+=13960=t1kh0gm2b,1870,1870,1870,reviewed,6155976,1683664,"Myers, F. W. H.",London;Macmillan;1870.,,Poems,rev,,pop,1870,BM,1843,m,uk,,,
loc.ark+=13960=t2g740m4m,1870,1870,1870,random,9559778,,"Atkinson, Mary Ellen.",Philadelphia;Lippincott;1870.,,Ivy leaves,,,,,,,,,,,
uc1.b274748,1870,1870,1870,random,,,"Stephens, Lydia W.",Philadelphia;Daughaday & Becker;1870.,,Heart Problems,,,,,,,f,us,,,
uc2.ark+=13960=t06w98f3m,1870,1870,1870,random,6611535,,"Lochore, G.",Glasgow;W.G. Blackie;1870.,,Poetical recreation,,,,,,,,,,,
nyp.33433066626338,1870,1870,1870,random,8656979,,"Nash, Gilbert,",Boston;Nichols and Noyes;1870.,,Bay leaves,,,,,,1825,m,us,,,
loc.ark+=13960=t80k2xx3b,1870,1870,1870,random,,,"Henck, George Lewis. [from old catalog]","Baltimore;J. W. Woods, printer;1870.",,Poems,,,,,,,m,us,,,
